"Reference","Qty","Value","Footprint"
"C1,C2,C4,C5,C6,C8","6","100n","Capacitor_SMD:C_0805_2012Metric"
"C3,C7","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm"
"D1,D2,D4,D5,D7,D8","6","B140Q-13-F","Diode_SMD:D_SMA_Handsoldering"
"D3,D6","2","LED","LED_THT:LED_D3.0mm"
"D9,D10","2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"J1,J2,J3,J5,J6,J7","6","MonoJack","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ323M_Horizontal"
"J4,J8","2","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"
"J9","1","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Horizontal"
"Q1,Q2","2","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide"
"R1,R8","2","120k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R2,R3,R9,R10","4","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R4,R6,R11,R14,R17,R18","6","4k7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R5,R7,R12,R13","4","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R15,R16","2","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R19,R20","2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"RV1,RV2","2","100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-2_Single_Horizontal"
"U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"
"U2,U3","2","ATtiny13A-S","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U4","1","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
