"Reference","Value","Qty"
"C1,C4,C13,C14","10u","4"
"C2,C3,C5,C6","22p","4"
"C7,C8,C21,C22","1u","4"
"C9,C10","47n","2"
"C11,C12","220u","2"
"C15,C16,C17,C18,C19,C20,C23,C24","100n","8"
"D1,D4","1N4148","2"
"D2,D5","3mm LED Green","2"
"D3,D6","3mm LED Red","2"
"D7,D8","1N5819","2"
"J1,J2,J3,J4","WQP-PJ301M","4"
"J5,J7,J8","2x8 2.54mm header","3"
"J6","WQP-PJ301CM","1"
"Q1,Q3","2N3906","2"
"Q2,Q4","2N3904","2"
"R1,R5,R6,R7,R12,R13,R14,R15,R16,R19,R20,R21,R22,R24,R31,R32","100k","16"
"RV1,RV2,RV3,RV4","RV09 B104 100k","4"
"R2,R17","47k","2"
"R3,R18","2M2","2"
"R4,R9,R23,R28","10k","4"
"R8,R25","15k","2"
"R10,R11","220k","2"
"R26,R27","330k","2"
"R29,R30,R33,R34","1k","4"
"R35,R36,R37,R38","10","4"
"RV5","PTV112-4420A-B104 100k","1"
"U1","TL074","1"
"U2,U3","LM386","2"
